ACH3666;4;0;60
ACH4115;3;0;45
ACH3698;4;0;60
ACH1523;4;0;60
ACH3828;4;0;60
ACH5017;4;0;60
ACH1708;4;0;60
ACH3573;2;0;30
ACH2787;2;0;30
ACH1505;4;0;60
ACH5007;2;1;60
ACH2717;2;0;30
ACH2877;2;2;90
ACH2818;2;2;90
ACH2023;4;2;120
ACH2023;4;2;120
ACH2024;4;2;120
ACH2024;4;2;120
ACH4068;2;0;30
ACH3096;2;0;30
ACH1063;3;1;75
ACH1034;2;1;60
ACH1053;3;1;75
ACH3126;3;0;45
ACH2747;4;0;60
ACH4698;4;0;60
ACH4608;2;0;30
ACH1137;2;0;30
ACH4514;4;0;60
ACH4515;2;0;30
ACH2005;4;2;120
ACH2005;4;2;120
ACH5044;4;0;60
ACH1545;4;2;120
ACH2543;4;0;60
ACH5083;4;0;60
ACH5041;2;0;30
ACH0512;4;0;60
ACH2608;2;0;30
ACH0544;4;0;60
ACH2055;2;0;30
ACH2687;2;0;30
ACH0162;2;0;30
ACH0172;2;0;30
ACH0192;2;0;30
ACH0182;2;0;30
ACH0032;2;0;30
ACH2573;2;0;30
ACH4088;2;2;90
ACH0523;4;0;60
ACH0524;4;0;60
ACH5014;4;0;60
ACH3023;4;1;90
ACH5016;4;0;60
ACH5015;4;1;90
ACH5034;6;4;210
ACH5037;4;0;60
ACH5036;4;0;60
ACH5006;4;0;60
ACH5038;4;0;60
ACH5057;2;0;30
ACH5067;2;0;30
ACH4073;2;0;30
ACH4077;2;1;60
ACH4116;2;0;30
ACH0606;2;1;60
ACH4083;0;0;0
ACH0522;1;7;225
ACH0573;0;1;30
ACH3565;2;0;30
ACH3727;2;0;30
ACH2807;4;0;60
ACH2068;4;0;60
ACH1066;5;1;105
ACH3127;4;1;90
ACH3095;2;2;90
ACH3076;2;1;60
ACH2004;4;2;120
ACH2004;4;2;120
ACH2025;4;2;120
ACH2523;4;0;60
ACH2524;4;0;60
ACH5532;4;0;60
ACH8612;2;1;60
ACH3094;2;0;30
ACH5026;4;0;60
ACH5555;4;0;60
ACH5022;4;0;60
ACH0596;2;1;60
ACH4106;4;0;60
ACH4067;2;0;30
ACH3042;2;0;30
ACH3012;4;2;120
ACH3032;4;1;90
ACH5564;2;0;30
ACH0574;2;1;60
ACH1024;2;1;60
ACH0514;4;0;60
ACH0515;4;0;60
ACH5524;4;0;60
ACH5542;4;0;60
ACH5543;4;0;60
ACH5527;2;0;30
ACH5064;2;0;30
ACH2847;2;0;30
ACH2011;4;0;60
ACH2011;4;0;60
ACH4532;2;0;30
ACH5511;4;0;60
ACH2012;4;0;60
ACH2012;4;0;60
ACH4553;2;0;30
ACH5512;4;0;60
ACH4021;4;0;60
ACH1037;2;1;60
ACH3011;4;1;90
ACH5544;4;2;120
ACH3542;4;0;60
ACH4537;2;0;30
ACH0011;2;0;30
ACH0131;2;0;30
ACH0111;2;0;30
ACH0121;2;0;30
ACH0101;2;0;30
